"COOK, IL  [COUNTY, 17031]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    TOTAL POPULATION AGE 26 YEARS (in thousands)","n.a.",78.941,77.122,74.348,98.730,91.274,90.716,89.920,92.454,93.263,94.078,95.393,97.145,98.562,101.924,102.133,101.681,100.865,101.729,99.173,97.222,95.714,93.289,90.001,87.890,85.886,86.502,90.183,92.763,88.845,85.904,84.403,88.514,86.738,88.107,85.776,85.683,90.952,90.036,87.169,88.953,86.034,89.082,88.111,88.012,88.564,88.522,90.885,89.832,88.414,87.099,85.731,78.716,73.069,70.275,70.994,71.240,74.191,72.564,71.167,71.005,72.145,72.166,72.041,72.203,72.555,70.568,72.099,73.497,72.151,70.780,70.230,71.493,69.997,68.905,67.680,65.900,65.178,67.055,67.777,67.003,67.077,67.054,66.904,66.843,66.727,66.543,66.344,66.134,65.862,65.569,65.214
"    TOTAL POPULATION AGE 27 YEARS (in thousands)","n.a.",86.879,81.326,78.865,75.355,100.215,92.356,91.832,90.583,92.737,92.697,93.433,95.631,97.730,98.873,102.454,102.031,101.556,100.553,100.971,98.568,97.203,96.437,94.665,91.438,89.090,87.155,88.139,91.830,95.000,91.069,87.421,84.167,87.675,85.589,86.595,84.868,85.023,90.733,90.304,87.036,88.009,87.018,90.508,89.781,89.056,89.519,89.395,92.047,90.735,89.571,88.201,81.477,77.361,72.743,69.890,70.574,70.833,73.770,72.122,70.744,70.585,71.727,71.746,71.629,71.785,72.157,70.173,71.690,73.079,71.718,70.358,69.790,71.042,69.531,68.465,67.189,65.467,64.719,66.600,67.314,66.546,66.627,66.602,66.458,66.393,66.275,66.093,65.904,65.699,65.434,65.139
"    TOTAL POPULATION AGE 28 YEARS (in thousands)","n.a.",75.737,83.492,77.475,74.432,71.286,94.348,87.031,86.171,84.744,86.077,86.290,88.001,90.378,92.090,93.368,96.149,95.688,95.089,93.695,94.189,92.510,91.824,91.979,90.636,87.675,85.773,84.561,85.743,90.064,93.387,90.096,86.520,83.169,86.265,83.868,85.348,83.856,84.614,90.810,90.284,87.721,87.994,87.352,91.111,90.023,89.009,89.340,89.236,91.865,91.035,89.620,84.315,80.006,76.946,72.328,69.431,70.080,70.324,73.231,71.566,70.210,70.053,71.164,71.190,71.069,71.227,71.616,69.644,71.140,72.585,71.231,69.895,69.302,70.559,69.032,67.999,66.723,65.012,64.237,66.118,66.827,66.070,66.154,66.130,65.986,65.923,65.811,65.642,65.461,65.265,65.004
"    TOTAL POPULATION AGE 29 YEARS (in thousands)","n.a.",70.453,73.541,81.373,75.959,74.215,71.782,96.219,89.630,89.656,88.604,91.905,93.144,95.547,98.089,100.468,101.587,104.771,104.492,103.761,102.853,102.737,102.236,100.894,99.716,96.838,92.578,89.739,87.288,87.578,90.738,92.091,88.223,83.774,80.115,82.842,80.197,81.551,80.063,81.206,86.821,86.113,87.805,88.013,87.550,90.884,89.393,88.171,88.559,88.740,91.339,90.358,87.420,82.870,79.650,76.580,71.970,69.066,69.692,69.927,72.808,71.160,69.814,69.623,70.737,70.763,70.634,70.803,71.171,69.186,70.656,72.081,70.725,69.395,68.801,70.045,68.511,67.508,66.230,64.540,63.755,65.642,66.349,65.606,65.691,65.669,65.525,65.466,65.370,65.207,65.038,64.845
"  TOTAL POPULATION AGE 30 to 34 YEARS (in thousands)","n.a.",321.007,323.694,328.574,338.395,344.973,349.657,350.859,373.220,380.077,389.075,400.113,418.574,417.674,423.233,431.801,439.833,446.560,454.906,459.359,462.431,466.120,473.986,479.673,481.531,480.044,472.603,463.116,450.800,440.368,430.760,427.494,427.444,424.148,416.729,405.902,393.013,383.583,381.830,383.618,390.273,398.035,407.129,415.073,421.677,424.989,424.108,424.010,422.508,420.695,421.212,421.156,429.917,429.756,429.425,424.282,411.024,394.859,377.497,364.106,354.183,350.306,349.315,350.013,349.963,350.777,348.738,348.275,349.264,350.791,349.264,349.210,350.701,350.750,349.088,348.721,348.191,344.622,341.470,338.270,334.089,327.899,325.212,324.140,323.607,324.752,326.724,326.653,325.890,325.765,325.433,324.912
"    TOTAL POPULATION AGE 30 YEARS (in thousands)","n.a.",69.089,71.811,74.312,81.307,76.024,73.872,71.335,94.740,87.804,86.887,86.480,88.976,90.386,92.342,94.917,96.483,97.313,100.152,99.238,98.549,99.265,99.804,100.607,99.994,99.477,97.260,94.191,92.037,90.772,91.874,94.990,90.429,86.565,82.471,78.884,82.066,80.005,82.404,81.603,83.166,87.972,85.689,87.065,87.695,86.954,89.679,87.940,87.024,87.080,87.373,90.064,89.398,86.512,83.059,79.852,76.789,72.194,69.221,69.810,70.092,73.028,71.378,70.055,69.876,71.021,71.071,70.946,71.119,71.500,69.520,71.012,72.463,71.087,69.774,69.147,70.412,68.869,67.888,66.575,64.902,64.120,66.049,66.769,66.030,66.121,66.108,65.979,65.937,65.852,65.707,65.540
"    TOTAL POPULATION AGE 31 YEARS (in thousands)","n.a.",64.596,64.527,66.818,68.838,75.893,70.980,69.343,66.973,89.010,82.238,82.353,82.011,84.721,85.924,88.075,90.036,91.586,92.343,94.701,94.102,93.736,96.170,96.497,96.480,95.035,93.674,91.321,87.762,85.610,83.749,85.280,92.611,87.597,83.712,79.158,75.678,78.846,77.113,79.834,78.608,81.279,87.354,85.044,86.024,86.848,85.433,88.032,86.329,85.264,85.642,85.592,90.417,87.608,85.859,82.406,79.201,76.131,71.538,68.524,69.082,69.352,72.256,70.585,69.258,69.084,70.201,70.257,70.131,70.283,70.672,68.721,70.198,71.687,70.329,69.031,68.384,69.653,68.115,67.168,65.864,64.213,63.411,65.333,66.042,65.306,65.396,65.386,65.268,65.234,65.156,65.011
"    TOTAL POPULATION AGE 32 YEARS (in thousands)","n.a.",63.843,63.446,63.214,65.178,67.631,74.544,70.195,68.627,66.399,87.650,81.318,81.636,81.569,83.961,85.326,86.897,88.783,90.173,90.528,92.937,92.791,93.522,96.345,96.569,96.199,94.599,93.524,91.047,88.065,85.651,84.044,83.264,89.952,85.322,81.476,77.502,74.260,77.851,76.384,79.415,78.473,80.252,86.582,84.039,84.778,85.173,83.443,86.162,84.290,83.236,83.755,85.777,89.781,88.089,86.299,82.811,79.601,76.511,71.867,68.808,69.369,69.645,72.575,70.875,69.534,69.360,70.470,70.523,70.402,70.542,70.940,68.971,70.443,71.956,70.572,69.259,68.607,69.884,68.344,67.385,66.074,64.427,63.615,65.554,66.263,65.528,65.619,65.621,65.504,65.481,65.403
"    TOTAL POPULATION AGE 33 YEARS (in thousands)","n.a.",60.572,61.327,60.880,60.449,62.863,65.330,72.392,68.262,66.912,64.522,84.390,78.822,79.377,79.079,81.589,82.410,83.911,85.642,86.662,87.164,89.966,91.186,91.848,94.104,93.541,92.576,90.868,89.171,86.876,83.411,81.199,81.917,80.743,87.100,82.267,78.503,74.684,71.727,75.666,74.542,77.028,77.537,79.455,85.435,82.558,83.063,83.283,81.623,84.169,82.604,81.356,83.412,83.835,88.897,87.180,85.387,81.896,78.687,75.582,70.957,67.898,68.448,68.701,71.599,69.897,68.554,68.368,69.447,69.490,69.367,69.504,69.894,67.954,69.385,70.918,69.535,68.257,67.609,68.873,67.360,66.431,65.148,63.539,62.694,64.618,65.316,64.592,64.694,64.697,64.596,64.567
"    TOTAL POPULATION AGE 34 YEARS (in thousands)","n.a.",62.907,62.583,63.350,62.623,62.562,64.931,67.594,74.618,69.952,67.778,65.572,87.129,81.621,81.927,81.894,84.007,84.967,86.596,88.230,89.679,90.362,93.304,94.376,94.384,95.792,94.494,93.212,90.783,89.045,86.075,81.981,79.223,79.291,78.124,84.117,79.264,75.788,72.735,70.131,74.542,73.283,76.297,76.927,78.484,83.851,80.760,81.312,81.370,79.892,82.357,80.389,80.913,82.020,83.521,88.545,86.836,85.037,81.540,78.323,75.244,70.659,67.588,68.097,68.355,71.241,69.552,68.234,68.044,69.116,69.163,69.033,69.175,69.579,67.644,69.053,70.601,69.236,67.974,67.310,68.578,67.061,66.177,64.884,63.287,62.444,64.376,65.077,64.370,64.478,64.493,64.391
"  TOTAL POPULATION AGE 35 to 39 YEARS (in thousands)","n.a.",303.152,298.287,294.185,289.829,288.967,287.993,291.041,296.356,307.211,312.081,316.554,316.286,336.347,344.015,357.881,369.095,386.312,383.849,386.811,392.387,400.038,408.720,419.588,429.198,434.850,437.998,440.171,438.103,435.153,429.511,420.745,410.380,398.281,388.716,378.088,373.346,371.179,370.858,368.902,366.200,361.502,357.224,358.230,362.130,365.980,372.073,375.586,378.096,380.398,381.148,379.123,384.827,384.303,390.516,397.999,406.662,413.642,418.529,417.737,412.247,398.918,382.816,365.434,352.080,342.121,338.106,336.863,337.289,337.059,337.649,335.499,334.918,335.725,337.185,335.676,335.511,337.100,337.169,335.619,335.284,334.974,331.603,328.698,325.717,321.835,315.905,313.407,312.438,312.001,313.199,315.267
"    TOTAL POPULATION AGE 35 YEARS (in thousands)","n.a.",60.765,60.316,59.649,59.917,59.485,59.312,61.734,64.073,70.529,65.757,64.338,62.290,83.252,78.209,79.013,78.764,81.079,82.124,83.594,85.550,87.902,88.893,92.368,93.560,93.545,95.059,94.263,93.091,91.456,89.757,86.617,80.114,77.196,77.385,76.166,82.094,77.664,75.053,72.604,70.156,74.044,72.437,75.358,75.920,77.002,82.002,78.686,79.322,79.099,77.867,80.245,80.533,79.662,81.811,83.321,88.346,86.605,84.798,81.299,78.097,75.022,70.446,67.361,67.852,68.097,70.975,69.282,67.961,67.772,68.825,68.876,68.762,68.897,69.306,67.367,68.760,70.331,68.956,67.700,67.025,68.307,66.810,65.928,64.651,63.048,62.216,64.156,64.866,64.169,64.286,64.302
"    TOTAL POPULATION AGE 36 YEARS (in thousands)","n.a.",58.729,58.770,58.098,57.148,57.783,57.387,57.545,59.882,62.204,68.178,63.758,62.365,60.533,80.390,75.524,75.601,75.137,77.064,77.543,78.877,80.770,83.690,84.687,87.495,88.116,87.661,88.903,87.775,86.781,84.745,83.654,84.849,78.206,75.490,75.447,74.149,80.226,76.549,74.417,72.313,70.419,73.262,71.726,74.741,74.663,75.502,80.355,76.926,77.679,77.262,75.920,79.995,78.823,79.006,81.130,82.631,87.604,85.846,84.004,80.503,77.321,74.251,69.674,66.581,67.054,67.294,70.140,68.436,67.109,66.903,67.933,67.982,67.861,67.995,68.388,66.468,67.847,69.427,68.072,66.837,66.174,67.449,65.971,65.119,63.850,62.276,61.413,63.351,64.057,63.370,63.483
"    TOTAL POPULATION AGE 37 YEARS (in thousands)","n.a.",59.733,58.063,58.132,57.413,57.087,57.971,58.082,58.401,61.001,63.293,69.376,64.811,63.561,61.495,81.773,76.259,76.207,75.605,77.096,77.661,78.990,81.311,84.248,84.776,87.069,87.205,86.546,87.452,86.411,84.855,82.828,82.048,82.873,76.087,72.961,73.100,71.815,77.934,74.622,72.670,70.475,70.015,72.516,71.012,73.514,73.366,73.833,78.741,75.315,76.147,75.665,75.462,78.351,78.228,78.398,80.497,81.984,86.903,85.146,83.305,79.827,76.664,73.608,69.062,65.969,66.435,66.681,69.494,67.800,66.501,66.279,67.304,67.351,67.227,67.358,67.745,65.849,67.203,68.785,67.436,66.222,65.569,66.839,65.374,64.547,63.280,61.735,60.878,62.816,63.519,62.840
"    TOTAL POPULATION AGE 38 YEARS (in thousands)","n.a.",60.059,59.616,57.532,57.074,56.505,55.914,56.728,56.427,56.368,58.217,60.074,65.342,61.212,59.780,57.994,76.538,71.251,71.080,70.166,71.722,72.698,73.871,76.706,79.776,80.490,82.925,83.636,83.399,85.064,84.298,83.449,81.337,80.273,81.214,74.259,71.409,71.665,70.885,77.252,74.341,72.209,69.825,69.319,71.705,69.930,72.239,71.788,72.432,77.207,74.024,74.575,74.841,74.021,77.873,77.743,77.906,79.995,81.462,86.320,84.548,82.721,79.252,76.073,73.021,68.478,65.391,65.842,66.066,68.836,67.142,65.827,65.584,66.589,66.634,66.498,66.620,67.013,65.127,66.465,68.057,66.721,65.533,64.884,66.152,64.700,63.889,62.639,61.116,60.244,62.181,62.872
"    TOTAL POPULATION AGE 39 YEARS (in thousands)","n.a.",63.866,61.522,60.774,58.277,58.107,57.409,56.952,57.573,57.109,56.636,59.008,61.478,67.789,64.141,63.577,61.933,82.638,77.976,78.412,78.577,79.678,80.955,81.579,83.591,85.630,85.148,86.823,86.386,85.441,85.856,84.197,82.032,79.733,78.540,79.255,72.594,69.809,70.437,70.007,76.720,74.355,71.685,69.311,68.752,70.871,68.964,70.924,70.675,71.098,75.848,72.718,73.996,73.446,73.598,77.407,77.282,77.454,79.520,80.968,85.794,84.027,82.203,78.718,75.564,72.523,68.011,64.918,65.332,65.542,68.278,66.584,65.286,65.027,66.023,66.065,65.918,66.060,66.456,64.597,65.929,67.550,66.242,65.076,64.421,65.690,64.244,63.464,62.227,60.715,59.843,61.770
"  TOTAL POPULATION AGE 40 to 44 YEARS (in thousands)","n.a.",332.301,325.687,317.118,307.208,298.856,289.009,284.248,280.830,278.274,275.749,273.351,272.933,277.351,285.776,291.569,295.347,296.599,315.270,321.732,332.992,346.695,363.845,364.917,370.542,376.916,382.985,389.609,396.136,403.699,407.834,410.178,411.250,407.009,399.471,391.526,380.205,368.504,358.142,352.115,347.328,347.900,352.505,355.381,354.462,351.349,345.532,337.977,335.099,335.507,336.877,341.403,344.948,346.506,352.613,357.648,361.554,367.060,371.329,377.113,384.185,392.431,399.022,403.457,402.435,396.829,383.622,367.751,350.628,337.349,327.372,323.095,321.487,321.608,321.115,321.389,319.096,318.393,319.109,320.488,319.094,319.026,320.813,321.168,319.992,319.920,319.915,316.780,314.190,311.470,307.986,302.370
"    TOTAL POPULATION AGE 40 YEARS (in thousands)","n.a.",67.258,62.991,60.648,59.823,57.908,57.896,57.611,57.212,57.932,57.296,57.143,58.049,60.501,66.229,62.534,61.305,59.590,78.809,73.685,73.895,75.154,76.118,78.308,79.582,82.027,84.711,85.278,87.609,88.485,88.248,88.488,82.610,80.305,77.768,76.468,77.129,70.433,68.004,69.042,68.529,74.522,73.883,71.373,68.744,67.928,69.750,67.727,69.727,69.518,69.860,74.449,72.015,72.477,72.892,73.030,76.812,76.689,76.864,78.887,80.325,85.113,83.365,81.527,78.058,74.927,71.906,67.420,64.319,64.708,64.911,67.615,65.924,64.630,64.360,65.336,65.376,65.234,65.380,65.787,63.951,65.270,66.927,65.642,64.491,63.830,65.103,63.669,62.923,61.699,60.209,59.321
"    TOTAL POPULATION AGE 41 YEARS (in thousands)","n.a.",64.597,66.072,61.447,58.747,58.200,56.195,56.339,55.905,55.428,55.811,55.012,54.192,55.427,57.729,63.520,59.710,58.651,57.077,75.324,70.719,70.958,72.739,73.518,75.088,75.608,77.338,79.551,79.405,81.484,81.645,82.018,87.109,81.210,78.982,76.463,75.407,76.059,69.944,67.905,69.348,69.494,74.436,73.505,70.951,68.039,67.149,68.816,66.724,68.707,68.424,68.665,73.602,70.820,72.208,72.607,72.735,76.496,76.365,76.507,78.511,79.950,84.711,82.936,81.095,77.631,74.506,71.482,66.992,63.887,64.260,64.444,67.125,65.423,64.117,63.839,64.800,64.841,64.692,64.836,65.241,63.426,64.738,66.403,65.123,63.985,63.327,64.598,63.183,62.452,61.249,59.762
"    TOTAL POPULATION AGE 42 YEARS (in thousands)","n.a.",66.089,64.705,65.893,60.989,58.661,58.058,56.272,56.316,55.801,55.003,55.205,54.417,53.885,54.994,57.474,62.837,59.123,58.068,56.353,74.452,70.122,70.316,72.518,73.369,74.794,75.355,77.511,79.738,80.127,82.259,82.060,81.043,85.782,79.931,77.490,74.882,74.047,74.926,69.208,67.393,68.355,69.052,73.976,73.015,70.298,67.281,66.223,67.784,65.794,67.694,67.358,67.880,72.044,70.236,71.606,72.005,72.129,75.849,75.704,75.850,77.841,79.275,83.972,82.205,80.365,76.918,73.816,70.799,66.329,63.220,63.569,63.749,66.392,64.696,63.397,63.104,64.066,64.109,63.960,64.110,64.524,62.738,64.040,65.723,64.463,63.345,62.683,63.967,62.559,61.861,60.665
"    TOTAL POPULATION AGE 43 YEARS (in thousands)","n.a.",66.354,65.693,63.787,64.427,59.751,57.185,56.617,54.565,54.312,53.295,52.401,53.332,52.967,52.434,53.787,55.981,61.299,57.756,56.631,55.222,73.125,68.959,69.343,71.387,71.932,73.081,73.816,75.718,78.160,78.392,80.392,81.138,79.917,84.429,78.601,76.125,73.741,73.243,74.322,69.043,67.318,68.103,68.585,73.336,72.343,69.721,66.265,65.312,66.778,64.861,66.732,66.293,66.551,71.552,69.752,71.117,71.512,71.627,75.294,75.150,75.307,77.289,78.693,83.354,81.584,79.744,76.313,73.211,70.199,65.756,62.645,62.966,63.133,65.748,64.047,62.757,62.475,63.428,63.472,63.313,63.476,63.905,62.147,63.436,65.154,63.907,62.819,62.159,63.450,62.060,61.387
"    TOTAL POPULATION AGE 44 YEARS (in thousands)","n.a.",68.003,66.226,65.343,63.222,64.336,59.675,57.409,56.832,54.801,54.344,53.590,52.943,54.571,54.390,54.254,55.514,57.936,63.560,59.739,58.704,57.336,75.713,71.230,71.116,72.555,72.500,73.453,73.666,75.443,77.290,77.220,79.350,79.795,78.361,82.504,76.662,74.224,72.025,71.638,73.015,68.211,67.031,67.942,68.416,72.741,71.631,68.946,65.552,64.710,66.038,64.199,65.158,64.614,65.725,70.653,68.885,70.234,70.624,70.721,74.349,74.220,74.382,76.329,77.723,82.322,80.548,78.720,75.307,72.226,69.225,64.822,61.723,62.030,62.194,64.770,63.059,61.777,61.500,62.433,62.479,62.330,62.505,62.936,61.219,62.488,64.233,63.011,61.958,61.310,62.607,61.235
"  TOTAL POPULATION AGE 45 to 49 YEARS (in thousands)","n.a.",341.389,338.393,330.461,321.682,314.046,307.152,299.122,290.342,281.505,271.093,260.222,253.719,250.787,251.066,253.088,252.871,254.445,259.008,266.475,271.303,275.420,277.437,296.360,304.150,315.431,327.634,343.658,342.997,348.170,354.791,360.951,364.757,370.582,375.310,376.816,377.904,376.682,372.410,366.805,362.774,356.391,350.657,345.829,341.975,337.946,337.814,339.538,339.564,335.506,331.227,324.557,313.947,308.601,310.088,313.529,320.052,326.493,332.223,337.905,342.618,346.290,351.517,355.508,361.040,367.827,375.714,381.920,386.013,384.751,379.079,366.113,350.616,333.905,320.887,311.003,306.583,304.760,304.658,304.075,304.310,302.157,301.585,302.394,303.886,302.802,302.944,305.030,305.816,305.132,305.446,305.839
"    TOTAL POPULATION AGE 45 YEARS (in thousands)","n.a.",69.395,67.147,64.884,63.526,61.649,62.476,57.945,55.452,54.627,52.162,51.689,50.871,50.527,51.947,51.934,51.525,52.744,55.054,60.113,56.698,56.225,54.840,73.131,69.460,69.789,71.691,72.527,73.996,75.218,77.602,79.145,76.040,77.741,78.132,76.281,80.267,74.308,72.177,70.159,69.858,70.868,67.724,66.758,67.424,67.740,71.793,70.586,67.854,64.526,63.668,64.950,62.339,63.573,63.881,64.974,69.839,68.102,69.441,69.813,69.913,73.503,73.391,73.547,75.476,76.859,81.410,79.652,77.831,74.433,71.385,68.423,64.060,60.981,61.266,61.419,63.960,62.280,61.015,60.753,61.679,61.735,61.594,61.776,62.224,60.539,61.806,63.578,62.382,61.358,60.713,62.017
"    TOTAL POPULATION AGE 46 YEARS (in thousands)","n.a.",68.201,68.278,65.691,63.152,62.184,60.237,61.224,56.650,54.104,52.947,51.042,51.269,50.563,49.969,51.406,50.961,50.441,51.503,53.454,58.367,54.908,54.278,52.898,70.226,66.240,66.161,67.879,68.331,69.711,70.484,72.932,78.164,75.192,76.974,77.312,75.777,79.880,74.339,72.614,70.967,71.014,70.664,67.505,66.525,67.076,67.193,71.220,69.839,67.029,63.895,63.063,63.889,61.340,63.369,63.676,64.759,69.593,67.857,69.175,69.538,69.652,73.215,73.086,73.241,75.159,76.545,81.076,79.284,77.454,74.071,71.028,68.068,63.716,60.635,60.889,61.025,63.563,61.871,60.618,60.370,61.288,61.358,61.219,61.408,61.872,60.208,61.473,63.289,62.107,61.104,60.447
"    TOTAL POPULATION AGE 47 YEARS (in thousands)","n.a.",68.091,67.368,66.937,63.949,61.725,60.570,58.772,59.548,54.920,52.071,51.630,50.493,51.293,50.773,50.612,52.062,51.903,51.625,52.750,55.157,60.116,56.232,55.635,54.154,71.426,67.230,67.217,68.825,69.414,70.605,71.100,72.189,77.170,74.149,75.882,76.137,74.665,78.951,73.773,72.164,70.853,70.786,70.530,67.254,66.115,66.584,66.605,70.544,68.915,66.344,63.261,61.657,62.644,60.927,62.927,63.230,64.306,69.083,67.342,68.648,69.016,69.123,72.642,72.516,72.672,74.575,75.958,80.451,78.643,76.811,73.450,70.426,67.475,63.157,60.072,60.303,60.436,62.948,61.265,60.027,59.793,60.709,60.781,60.650,60.841,61.315,59.673,60.947,62.787,61.626,60.639
"    TOTAL POPULATION AGE 48 YEARS (in thousands)","n.a.",68.149,66.724,65.618,64.873,62.334,60.061,59.139,57.287,58.021,53.186,49.669,47.413,46.726,47.411,47.090,46.720,48.062,47.902,47.450,48.620,50.443,56.122,52.894,52.551,51.251,67.772,64.199,64.402,66.474,67.241,68.854,70.310,71.127,75.943,72.728,74.402,74.705,73.410,77.804,72.766,71.105,70.630,70.617,70.408,66.933,65.689,65.996,65.946,69.753,68.289,65.744,61.940,60.232,62.000,60.292,62.273,62.576,63.634,68.341,66.619,67.920,68.293,68.389,71.870,71.753,71.913,73.801,75.160,79.591,77.796,75.981,72.645,69.641,66.715,62.429,59.359,59.593,59.724,62.212,60.539,59.314,59.092,59.999,60.077,59.948,60.143,60.628,59.020,60.287,62.144,61.000
"    TOTAL POPULATION AGE 49 YEARS (in thousands)","n.a.",67.553,68.876,67.331,66.182,66.154,63.808,62.042,61.405,59.833,60.727,56.192,53.673,51.678,50.966,52.046,51.603,51.295,52.924,52.708,52.461,53.728,55.965,61.802,57.759,56.725,54.780,71.836,67.443,67.353,68.859,68.920,68.054,69.352,70.112,74.613,71.321,73.124,73.533,72.455,77.019,72.551,70.853,70.419,70.364,70.082,66.555,65.131,65.381,65.283,69.031,67.539,64.122,60.812,59.911,61.660,59.951,61.916,62.208,63.234,67.900,66.199,67.495,67.844,67.937,71.384,71.271,71.433,73.287,74.630,79.016,77.231,75.417,72.092,69.114,66.194,61.936,58.888,59.100,59.227,61.695,60.027,58.832,58.619,59.527,59.602,59.472,59.678,60.178,58.593,59.859,61.736
"  TOTAL POPULATION AGE 50 to 54 YEARS (in thousands)","n.a.",325.442,328.364,331.153,330.043,327.987,322.236,317.952,310.496,303.543,294.387,287.624,280.238,272.774,263.150,255.698,248.940,243.093,239.243,238.117,238.074,237.709,241.057,248.200,258.351,263.414,267.687,269.331,285.690,293.237,304.048,316.012,329.502,327.440,329.170,332.084,335.137,337.979,344.553,350.945,355.986,359.860,362.032,360.097,357.375,354.169,348.167,341.039,334.080,327.651,321.933,320.352,315.881,312.400,310.424,307.590,302.599,296.810,295.512,296.770,299.865,305.960,311.987,317.329,322.703,327.170,330.671,335.624,339.424,344.623,351.007,358.460,364.205,367.909,366.528,360.877,348.304,333.399,317.342,304.792,295.329,291.124,289.336,289.284,288.875,289.216,287.318,286.924,287.873,289.493,288.742,289.142
"    TOTAL POPULATION AGE 50 YEARS (in thousands)","n.a.",69.057,66.587,67.181,65.015,63.964,63.519,61.135,59.040,58.035,55.913,57.444,55.556,53.169,50.866,50.132,50.643,49.947,49.416,50.501,50.088,49.998,51.617,54.408,60.513,56.865,56.249,54.915,72.325,68.858,69.266,70.100,67.787,66.699,67.937,68.452,72.829,69.562,71.447,71.941,71.008,74.739,72.145,70.502,69.908,69.891,69.442,65.827,64.227,64.365,64.441,68.053,65.971,62.417,59.982,59.097,60.815,59.129,61.062,61.345,62.354,66.958,65.293,66.568,66.923,67.020,70.419,70.318,70.481,72.309,73.623,77.950,76.197,74.409,71.119,68.167,65.296,61.100,58.084,58.294,58.426,60.868,59.233,58.062,57.857,58.755,58.840,58.710,58.935,59.445,57.898,59.153
