"WILL, IL  [COUNTY, 17197]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    TOTAL POPULATION AGE 26 YEARS (in thousands)","n.a.",3.690,3.648,3.677,5.214,4.867,4.975,5.042,5.296,5.455,5.627,5.802,5.841,5.811,5.937,5.883,5.804,5.734,5.786,5.667,5.569,5.539,5.424,5.191,5.188,5.147,5.359,5.713,5.991,5.861,5.814,5.930,6.014,6.145,6.403,6.692,6.828,7.940,7.582,7.407,7.512,7.125,7.403,7.186,7.137,7.286,7.443,8.079,8.300,8.467,8.736,8.329,9.279,9.472,10.003,10.018,9.824,9.978,10.403,10.717,10.711,10.871,10.858,10.861,10.644,10.669,10.101,10.617,10.022,10.059,9.892,9.785,9.965,10.073,9.467,9.254,8.867,10.176,10.084,10.396,10.451,10.656,10.824,11.000,11.174,11.352,11.537,11.730,11.937,12.164,12.375,12.566
"    TOTAL POPULATION AGE 27 YEARS (in thousands)","n.a.",4.255,4.030,4.069,4.096,5.710,5.389,5.481,5.527,5.768,5.945,6.120,6.174,6.156,6.135,6.266,6.188,6.098,6.025,6.074,5.928,5.878,5.894,5.787,5.619,5.605,5.602,5.813,6.215,6.523,6.401,6.330,6.237,6.620,6.641,7.142,7.314,7.506,8.368,8.010,7.712,7.661,7.281,7.383,7.242,7.177,7.330,7.491,8.098,8.379,8.451,8.634,8.992,9.589,9.926,10.472,10.476,10.271,10.421,10.846,11.164,11.155,11.314,11.292,11.295,11.067,11.082,10.492,11.025,10.415,10.453,10.276,10.170,10.357,10.468,9.837,9.620,9.215,10.556,10.468,10.782,10.839,11.050,11.218,11.398,11.574,11.752,11.935,12.133,12.338,12.564,12.777
"    TOTAL POPULATION AGE 28 YEARS (in thousands)","n.a.",3.739,4.286,4.148,4.187,4.144,5.830,5.470,5.530,5.535,5.769,5.927,5.964,5.963,5.973,5.953,6.065,6.001,5.930,5.863,5.900,5.851,5.840,5.918,5.937,5.812,5.878,5.902,6.179,6.671,7.073,7.028,6.798,6.738,7.222,7.266,7.764,7.988,7.831,8.533,8.256,8.025,7.795,7.394,7.544,7.393,7.234,7.496,7.626,8.214,8.353,8.431,9.140,9.038,9.773,10.110,10.657,10.662,10.451,10.609,11.038,11.361,11.351,11.512,11.492,11.490,11.262,11.282,10.678,11.220,10.602,10.642,10.465,10.356,10.545,10.653,10.014,9.794,9.388,10.746,10.658,10.980,11.040,11.251,11.421,11.602,11.784,11.964,12.148,12.347,12.555,12.783
"    TOTAL POPULATION AGE 29 YEARS (in thousands)","n.a.",3.457,3.744,4.438,4.351,4.368,4.417,6.234,5.883,5.962,6.015,6.292,6.336,6.342,6.395,6.432,6.437,6.590,6.564,6.521,6.472,6.555,6.683,6.664,6.826,6.818,6.678,6.712,6.725,7.009,7.483,7.916,7.465,7.255,7.178,7.719,7.711,8.309,8.112,7.946,8.460,8.288,8.086,7.901,7.512,7.791,7.494,7.446,7.792,7.672,8.374,8.372,8.579,9.125,9.154,9.892,10.227,10.774,10.782,10.572,10.731,11.163,11.486,11.472,11.640,11.620,11.618,11.389,11.403,10.800,11.345,10.721,10.764,10.588,10.484,10.677,10.787,10.143,9.921,9.512,10.886,10.798,11.124,11.185,11.401,11.575,11.759,11.938,12.123,12.310,12.509,12.717
"  TOTAL POPULATION AGE 30 to 34 YEARS (in thousands)","n.a.",16.267,17.021,18.349,20.194,21.418,22.786,23.745,26.101,27.260,28.746,30.177,31.196,30.419,30.423,30.655,31.032,31.383,31.959,32.477,32.831,33.574,34.786,35.825,37.038,38.137,39.032,39.495,39.745,39.995,40.517,41.820,43.239,44.672,45.879,46.992,47.238,47.198,46.835,45.923,44.763,44.364,43.947,43.469,43.121,42.340,41.580,41.206,40.899,40.843,40.686,41.208,41.052,41.803,43.647,45.687,47.614,49.745,52.134,53.842,55.300,56.146,57.110,57.848,58.587,59.709,60.649,61.127,60.992,60.917,60.050,59.754,58.833,58.233,57.415,57.130,56.414,56.478,55.844,55.168,54.173,54.367,54.362,55.373,56.721,58.728,59.452,60.469,61.307,62.286,63.218,64.169
"    TOTAL POPULATION AGE 30 YEARS (in thousands)","n.a.",3.339,3.602,3.984,4.713,4.534,4.591,4.609,6.454,6.038,6.104,6.114,6.230,6.241,6.289,6.361,6.406,6.424,6.615,6.613,6.575,6.701,6.805,6.992,7.093,7.275,7.336,7.197,7.276,7.332,7.731,8.281,8.414,8.109,7.965,7.962,8.538,8.457,8.854,8.566,8.353,8.845,8.366,8.255,7.975,7.702,7.898,7.719,7.630,7.874,7.726,8.484,8.542,8.724,9.410,9.436,10.187,10.524,11.082,11.091,10.870,11.037,11.480,11.811,11.798,11.960,11.944,11.939,11.696,11.720,11.097,11.661,11.025,11.069,10.894,10.782,10.977,11.087,10.431,10.207,9.786,11.193,11.104,11.440,11.501,11.720,11.901,12.088,12.270,12.458,12.645,12.848
"    TOTAL POPULATION AGE 31 YEARS (in thousands)","n.a.",3.362,3.478,3.811,4.196,4.860,4.724,4.754,4.740,6.593,6.167,6.222,6.109,6.177,6.212,6.272,6.335,6.395,6.438,6.639,6.627,6.665,6.924,7.028,7.271,7.322,7.513,7.527,7.359,7.430,7.487,8.022,8.774,8.961,8.711,8.598,8.557,9.094,8.730,8.883,8.546,8.563,8.926,8.450,8.408,8.081,7.852,8.009,7.928,7.807,7.996,7.877,8.536,8.556,8.861,9.555,9.578,10.335,10.667,11.231,11.236,11.012,11.185,11.632,11.965,11.945,12.111,12.099,12.086,11.843,11.866,11.238,11.811,11.176,11.215,11.042,10.924,11.123,11.234,10.577,10.345,9.924,11.347,11.255,11.599,11.659,11.881,12.061,12.248,12.435,12.617,12.805
"    TOTAL POPULATION AGE 32 YEARS (in thousands)","n.a.",3.181,3.323,3.545,3.918,4.263,5.021,4.875,4.904,4.883,6.802,6.365,6.274,6.107,6.190,6.235,6.287,6.358,6.431,6.474,6.661,6.741,6.923,7.244,7.461,7.722,7.848,8.069,8.107,7.974,8.104,8.266,8.502,9.409,9.594,9.462,9.250,9.223,9.555,8.968,9.014,8.704,8.679,9.046,8.539,8.535,8.285,8.160,8.186,8.200,7.981,8.226,7.836,8.574,8.720,9.030,9.731,9.753,10.517,10.860,11.425,11.428,11.206,11.378,11.840,12.175,12.153,12.321,12.306,12.293,12.043,12.074,11.436,12.026,11.380,11.425,11.247,11.132,11.334,11.451,10.783,10.545,10.124,11.568,11.477,11.825,11.887,12.114,12.296,12.487,12.673,12.858
"    TOTAL POPULATION AGE 33 YEARS (in thousands)","n.a.",3.105,3.282,3.471,3.669,3.960,4.337,5.057,4.863,4.845,4.808,6.672,6.090,5.977,5.865,5.979,6.049,6.135,6.252,6.358,6.421,6.751,6.966,7.150,7.548,7.747,8.035,8.123,8.334,8.362,8.234,8.403,8.707,8.982,10.095,10.199,10.072,9.829,9.540,9.697,9.027,9.031,8.839,8.825,9.257,8.663,8.702,8.451,8.429,8.422,8.307,8.166,8.109,7.841,8.706,8.844,9.158,9.862,9.883,10.656,10.990,11.553,11.560,11.338,11.520,11.981,12.325,12.302,12.464,12.458,12.447,12.194,12.232,11.591,12.192,11.544,11.583,11.412,11.290,11.497,11.615,10.945,10.699,10.272,11.733,11.642,11.993,12.056,12.285,12.466,12.659,12.844
"    TOTAL POPULATION AGE 34 YEARS (in thousands)","n.a.",3.280,3.336,3.538,3.698,3.801,4.113,4.450,5.140,4.901,4.865,4.804,6.493,5.917,5.867,5.808,5.955,6.071,6.223,6.393,6.547,6.716,7.168,7.411,7.665,8.071,8.300,8.579,8.669,8.897,8.961,8.848,8.842,9.211,9.514,10.771,10.821,10.595,10.156,9.809,9.823,9.221,9.137,8.893,8.942,9.359,8.843,8.867,8.726,8.540,8.676,8.455,8.029,8.108,7.950,8.822,8.960,9.271,9.985,10.004,10.779,11.116,11.679,11.689,11.464,11.648,12.116,12.466,12.440,12.603,12.597,12.587,12.329,12.371,11.734,12.337,11.683,11.724,11.555,11.436,11.644,11.760,11.088,10.838,10.411,11.882,11.790,12.150,12.208,12.440,12.624,12.814
"  TOTAL POPULATION AGE 35 to 39 YEARS (in thousands)","n.a.",14.944,15.159,15.822,16.595,17.205,18.002,18.927,19.994,21.469,22.634,23.646,23.804,25.298,25.874,26.833,27.736,29.109,29.097,29.705,30.501,31.756,33.075,34.558,36.444,38.220,40.118,41.950,43.427,44.747,46.175,47.414,48.795,49.949,51.179,52.046,53.579,55.391,56.010,55.441,54.087,51.839,49.587,47.882,46.991,46.470,46.388,46.489,46.523,46.761,46.352,45.662,43.893,42.495,42.097,41.717,42.174,43.023,44.410,46.316,48.408,50.364,52.542,54.972,56.668,58.135,59.024,60.067,60.896,61.708,62.907,63.910,64.426,64.331,64.330,63.504,63.258,62.385,61.828,61.042,60.790,60.112,60.214,59.599,58.867,57.840,58.065,58.083,59.149,60.565,62.659,63.408
"    TOTAL POPULATION AGE 35 YEARS (in thousands)","n.a.",3.107,3.181,3.312,3.523,3.623,3.771,4.066,4.386,5.043,4.805,4.773,4.649,6.274,5.759,5.737,5.700,5.882,6.042,6.215,6.404,6.682,6.874,7.377,7.689,7.970,8.421,8.660,8.953,9.077,9.367,9.421,9.221,9.327,9.702,9.999,11.323,11.216,10.783,10.229,9.744,9.779,9.305,9.131,8.966,9.024,9.447,9.048,9.090,8.917,8.723,8.902,8.331,8.010,8.203,8.043,8.924,9.062,9.379,10.095,10.110,10.886,11.226,11.792,11.803,11.578,11.770,12.249,12.599,12.573,12.736,12.739,12.727,12.473,12.529,11.884,12.493,11.841,11.877,11.720,11.593,11.808,11.926,11.247,10.993,10.562,12.051,11.959,12.319,12.381,12.614,12.801
"    TOTAL POPULATION AGE 36 YEARS (in thousands)","n.a.",2.901,3.031,3.206,3.367,3.552,3.717,3.882,4.185,4.511,5.201,4.973,4.849,4.686,6.320,5.804,5.781,5.738,5.933,6.078,6.244,6.514,6.832,7.031,7.568,7.863,8.140,8.567,8.770,9.057,9.173,9.514,9.901,9.725,9.829,10.123,10.434,11.697,11.431,10.859,10.181,9.692,9.778,9.285,9.228,9.103,9.072,9.659,9.258,9.250,9.033,8.947,8.682,8.322,8.114,8.310,8.147,9.037,9.174,9.495,10.217,10.226,11.007,11.346,11.909,11.924,11.708,11.908,12.388,12.745,12.716,12.887,12.898,12.891,12.633,12.690,12.037,12.660,12.009,12.048,11.888,11.759,11.982,12.103,11.418,11.158,10.722,12.231,12.136,12.504,12.562,12.797
"    TOTAL POPULATION AGE 37 YEARS (in thousands)","n.a.",3.014,3.034,3.225,3.401,3.508,3.733,3.885,4.029,4.313,4.646,5.349,4.980,4.825,4.675,6.333,5.822,5.799,5.788,5.983,6.141,6.370,6.659,6.989,7.267,7.812,8.135,8.413,8.827,9.047,9.370,9.548,9.940,10.268,10.066,10.237,10.477,10.788,11.814,11.446,10.837,10.142,9.660,9.695,9.356,9.245,9.134,9.119,9.790,9.327,9.290,9.112,8.731,8.626,8.385,8.184,8.377,8.208,9.107,9.242,9.559,10.281,10.293,11.077,11.411,11.974,11.994,11.774,11.977,12.463,12.825,12.799,12.969,12.987,12.983,12.722,12.787,12.134,12.764,12.110,12.149,11.994,11.868,12.092,12.211,11.523,11.260,10.823,12.338,12.244,12.611,12.668
"    TOTAL POPULATION AGE 38 YEARS (in thousands)","n.a.",2.881,2.918,2.996,3.172,3.279,3.412,3.615,3.743,3.856,4.133,4.432,4.948,4.586,4.463,4.340,5.874,5.421,5.430,5.431,5.624,5.872,6.056,6.367,6.794,7.084,7.675,8.028,8.323,8.789,9.073,9.437,9.926,10.387,10.767,10.501,10.494,10.797,11.040,11.802,11.442,10.735,10.106,9.651,9.726,9.388,9.320,9.237,9.187,9.928,9.383,9.385,8.918,8.633,8.651,8.411,8.205,8.404,8.235,9.135,9.266,9.585,10.307,10.318,11.101,11.430,11.991,12.013,11.791,12.000,12.488,12.855,12.832,13.003,13.032,13.024,12.764,12.837,12.187,12.825,12.174,12.216,12.068,11.933,12.161,12.276,11.591,11.325,10.885,12.404,12.311,12.679
"    TOTAL POPULATION AGE 39 YEARS (in thousands)","n.a.",3.041,2.995,3.083,3.132,3.243,3.369,3.479,3.651,3.746,3.849,4.119,4.378,4.927,4.657,4.619,4.559,6.269,5.904,5.998,6.088,6.318,6.654,6.794,7.126,7.491,7.747,8.282,8.554,8.777,9.192,9.494,9.807,10.242,10.815,11.186,10.851,10.893,10.942,11.105,11.883,11.491,10.738,10.120,9.715,9.710,9.415,9.426,9.198,9.339,9.923,9.316,9.231,8.904,8.744,8.769,8.521,8.312,8.515,8.349,9.256,9.386,9.709,10.439,10.444,11.229,11.561,12.123,12.141,11.927,12.142,12.630,13.000,12.977,13.153,13.184,13.177,12.913,12.991,12.339,12.986,12.335,12.370,12.224,12.084,12.321,12.441,11.745,11.471,11.032,12.561,12.463
"  TOTAL POPULATION AGE 40 to 44 YEARS (in thousands)","n.a.",15.033,14.920,15.104,15.307,15.270,15.387,15.661,15.966,16.330,16.775,17.309,17.917,18.602,19.726,20.611,21.442,22.088,24.259,25.491,27.115,29.008,30.668,30.886,32.055,33.410,35.010,36.702,38.463,40.347,42.314,44.464,47.119,49.475,51.796,54.071,55.580,56.595,56.779,56.460,55.742,55.711,55.826,55.370,54.515,53.142,51.088,49.285,48.278,47.451,47.235,47.398,46.988,46.485,46.690,46.487,45.670,45.006,44.218,43.828,43.419,43.901,44.775,46.199,48.140,50.266,52.254,54.434,56.834,58.511,60.008,60.929,62.060,63.036,63.977,65.315,66.433,67.044,67.004,67.079,66.324,66.157,65.365,64.886,64.127,63.897,63.233,63.326,62.706,61.926,60.830,61.034
"    TOTAL POPULATION AGE 40 YEARS (in thousands)","n.a.",3.093,2.956,2.966,3.038,3.030,3.162,3.272,3.356,3.500,3.586,3.681,3.887,4.138,4.712,4.496,4.488,4.477,6.201,5.861,5.984,6.220,6.317,6.673,6.897,7.238,7.658,7.931,8.491,8.797,9.084,9.472,9.842,10.101,10.653,11.178,11.489,11.196,11.021,11.022,11.129,11.821,11.533,10.728,10.107,9.681,9.742,9.488,9.510,9.262,9.369,10.004,9.409,9.199,9.002,8.838,8.864,8.615,8.407,8.611,8.436,9.352,9.482,9.809,10.545,10.546,11.334,11.661,12.221,12.241,12.033,12.258,12.760,13.136,13.116,13.294,13.329,13.328,13.063,13.146,12.493,13.147,12.498,12.529,12.384,12.242,12.482,12.605,11.904,11.617,11.169,12.718
"    TOTAL POPULATION AGE 41 YEARS (in thousands)","n.a.",2.933,3.030,2.972,2.996,3.034,3.068,3.202,3.302,3.378,3.524,3.634,3.691,3.855,4.107,4.677,4.457,4.451,4.451,6.155,5.827,5.965,6.169,6.261,6.674,6.879,7.234,7.647,7.895,8.456,8.786,9.203,9.804,10.180,10.432,10.963,11.369,11.638,11.266,11.047,10.905,11.108,11.721,11.444,10.658,10.087,9.603,9.762,9.482,9.528,9.201,9.398,9.876,9.338,9.258,9.060,8.896,8.923,8.671,8.464,8.668,8.492,9.413,9.544,9.874,10.612,10.613,11.404,11.722,12.282,12.312,12.101,12.337,12.844,13.228,13.214,13.388,13.433,13.432,13.168,13.259,12.603,13.268,12.619,12.648,12.505,12.360,12.601,12.722,12.019,11.724,11.276
"    TOTAL POPULATION AGE 42 YEARS (in thousands)","n.a.",3.018,2.982,3.130,3.052,3.013,3.069,3.079,3.185,3.257,3.318,3.477,3.575,3.631,3.826,4.107,4.703,4.509,4.542,4.561,6.338,6.025,6.051,6.251,6.419,6.817,7.043,7.403,7.797,8.060,8.660,9.013,9.407,10.117,10.442,10.667,11.159,11.478,11.610,11.230,10.918,10.823,11.047,11.656,11.371,10.607,10.053,9.610,9.729,9.448,9.515,9.248,9.320,9.825,9.423,9.349,9.145,8.981,9.010,8.757,8.545,8.752,8.575,9.503,9.632,9.961,10.703,10.698,11.490,11.808,12.372,12.405,12.201,12.446,12.962,13.353,13.339,13.520,13.575,13.577,13.309,13.409,12.751,13.424,12.767,12.794,12.659,12.503,12.749,12.870,12.157,11.856
"    TOTAL POPULATION AGE 43 YEARS (in thousands)","n.a.",3.035,3.030,3.046,3.196,3.056,3.042,3.077,3.063,3.147,3.208,3.299,3.498,3.558,3.610,3.803,4.080,4.662,4.479,4.504,4.522,6.328,5.852,5.881,6.144,6.299,6.720,6.939,7.277,7.678,7.976,8.610,9.224,9.595,10.409,10.685,10.878,11.339,11.595,11.711,11.240,10.927,10.726,10.905,11.520,11.300,10.471,9.993,9.574,9.735,9.375,9.429,9.060,9.170,9.808,9.408,9.333,9.131,8.970,8.996,8.744,8.532,8.741,8.566,9.492,9.619,9.947,10.688,10.681,11.466,11.787,12.345,12.384,12.186,12.441,12.960,13.354,13.342,13.528,13.589,13.594,13.326,13.437,12.783,13.455,12.803,12.831,12.695,12.536,12.786,12.901,12.190
"    TOTAL POPULATION AGE 44 YEARS (in thousands)","n.a.",2.954,2.922,2.990,3.025,3.137,3.046,3.031,3.060,3.048,3.139,3.218,3.266,3.420,3.471,3.528,3.714,3.989,4.586,4.410,4.444,4.470,6.279,5.820,5.921,6.177,6.355,6.782,7.003,7.356,7.808,8.166,8.842,9.482,9.860,10.578,10.685,10.944,11.287,11.450,11.550,11.032,10.799,10.637,10.859,11.467,11.219,10.432,9.983,9.478,9.775,9.319,9.323,8.953,9.199,9.832,9.432,9.356,9.160,9.000,9.026,8.773,8.564,8.777,8.597,9.528,9.657,9.983,10.720,10.714,11.504,11.820,12.378,12.424,12.230,12.494,13.023,13.421,13.406,13.599,13.669,13.672,13.411,13.531,12.873,13.553,12.901,12.922,12.795,12.634,12.879,12.994
"  TOTAL POPULATION AGE 45 to 49 YEARS (in thousands)","n.a.",14.449,14.376,14.527,14.759,14.698,14.880,14.904,14.858,14.723,14.586,14.562,14.749,14.965,15.429,15.973,16.473,17.161,18.139,19.532,20.707,21.829,22.119,24.020,25.184,26.710,28.565,30.640,31.345,32.696,34.477,36.619,38.990,41.663,44.484,47.191,49.388,51.423,52.856,53.776,54.715,55.119,55.264,54.988,54.410,53.690,53.684,53.872,53.678,52.994,51.571,49.870,47.950,46.602,46.024,46.130,46.527,46.902,47.080,47.295,47.103,46.291,45.657,44.879,44.522,44.125,44.638,45.535,46.959,48.913,51.044,53.038,55.223,57.630,59.331,60.886,61.896,63.164,64.302,65.386,66.830,68.078,68.795,68.836,69.012,68.341,68.253,67.500,67.046,66.302,66.056,65.354
"    TOTAL POPULATION AGE 45 YEARS (in thousands)","n.a.",3.050,2.970,2.987,3.054,3.026,3.158,3.041,2.999,3.006,2.977,3.067,3.110,3.158,3.336,3.417,3.490,3.698,4.010,4.625,4.472,4.565,4.447,6.251,5.881,5.985,6.282,6.462,6.900,7.145,7.560,8.010,8.415,9.105,9.707,10.086,10.677,10.846,11.039,11.238,11.413,11.444,10.973,10.705,10.578,10.813,11.386,11.163,10.465,9.925,9.479,9.753,9.220,9.228,8.987,9.236,9.871,9.464,9.397,9.198,9.037,9.067,8.816,8.606,8.823,8.637,9.575,9.703,10.031,10.770,10.757,11.548,11.866,12.427,12.476,12.291,12.559,13.095,13.499,13.490,13.680,13.761,13.769,13.503,13.628,12.968,13.656,13.001,13.022,12.891,12.722,12.975
"    TOTAL POPULATION AGE 46 YEARS (in thousands)","n.a.",2.942,2.943,2.924,2.935,2.944,2.946,3.050,2.925,2.861,2.858,2.867,3.038,3.081,3.145,3.343,3.442,3.532,3.767,4.086,4.720,4.550,4.477,4.358,6.200,5.800,5.920,6.174,6.351,6.778,7.041,7.548,8.244,8.641,9.295,9.881,10.208,10.795,10.861,10.991,11.200,11.355,11.387,10.918,10.730,10.499,10.753,11.322,11.103,10.450,9.922,9.430,9.609,9.102,9.237,8.999,9.240,9.880,9.474,9.405,9.209,9.047,9.079,8.825,8.620,8.834,8.648,9.589,9.714,10.048,10.785,10.778,11.569,11.885,12.445,12.505,12.321,12.598,13.139,13.546,13.538,13.737,13.824,13.835,13.567,13.700,13.041,13.732,13.074,13.090,12.960,12.791
"    TOTAL POPULATION AGE 47 YEARS (in thousands)","n.a.",2.859,2.864,2.943,2.936,2.916,2.970,2.969,3.077,2.940,2.884,2.922,2.982,3.136,3.183,3.259,3.466,3.569,3.673,3.913,4.251,4.897,4.530,4.463,4.410,6.271,5.902,6.016,6.309,6.505,6.989,7.326,7.756,8.411,8.813,9.429,9.887,10.199,10.695,10.633,10.847,10.991,11.262,11.284,10.856,10.633,10.434,10.659,11.205,10.956,10.317,9.805,9.311,9.501,9.127,9.265,9.023,9.267,9.909,9.504,9.434,9.235,9.076,9.110,8.861,8.650,8.867,8.680,9.621,9.746,10.079,10.821,10.811,11.606,11.919,12.485,12.544,12.368,12.655,13.205,13.611,13.606,13.811,13.905,13.916,13.646,13.785,13.124,13.818,13.159,13.171,13.040
"    TOTAL POPULATION AGE 48 YEARS (in thousands)","n.a.",2.973,2.893,2.946,3.015,2.939,2.935,2.957,2.926,2.999,2.846,2.787,2.757,2.788,2.929,2.980,3.053,3.257,3.372,3.476,3.718,4.010,4.610,4.275,4.283,4.233,6.053,5.700,5.834,6.144,6.384,6.913,7.458,7.887,8.621,8.993,9.524,9.962,10.282,10.679,10.558,10.757,10.929,11.171,11.167,10.726,10.493,10.350,10.618,11.123,10.871,10.173,9.724,9.167,9.487,9.119,9.254,9.014,9.263,9.902,9.494,9.428,9.230,9.076,9.110,8.860,8.656,8.875,8.687,9.631,9.757,10.095,10.842,10.827,11.620,11.936,12.494,12.562,12.390,12.688,13.239,13.650,13.650,13.856,13.951,13.970,13.696,13.843,13.180,13.877,13.216,13.227
"    TOTAL POPULATION AGE 49 YEARS (in thousands)","n.a.",2.625,2.706,2.727,2.819,2.873,2.871,2.887,2.931,2.917,3.021,2.919,2.862,2.802,2.836,2.974,3.022,3.105,3.317,3.432,3.546,3.807,4.055,4.673,4.410,4.421,4.408,6.288,5.951,6.124,6.503,6.822,7.117,7.619,8.048,8.802,9.092,9.621,9.979,10.235,10.697,10.572,10.713,10.910,11.079,11.019,10.618,10.378,10.287,10.540,10.982,10.709,10.086,9.604,9.186,9.511,9.139,9.277,9.037,9.286,9.929,9.514,9.456,9.262,9.108,9.144,8.892,8.688,8.906,8.718,9.666,9.796,10.135,10.885,10.871,11.669,11.978,12.541,12.619,12.457,12.762,13.324,13.741,13.737,13.950,14.057,14.075,13.800,13.952,13.285,13.987,13.321
"  TOTAL POPULATION AGE 50 to 54 YEARS (in thousands)","n.a.",12.447,12.646,13.220,13.721,13.951,14.214,14.400,14.410,14.389,14.322,14.407,14.400,14.201,13.943,13.816,13.843,13.936,14.218,14.746,15.343,15.968,16.527,17.341,18.814,19.870,20.992,21.924,24.514,26.048,28.218,30.805,33.504,34.400,35.906,37.772,39.648,41.654,43.626,45.410,47.023,48.507,49.860,50.885,51.625,52.265,52.511,52.494,51.976,51.139,50.617,50.472,51.084,50.660,50.643,49.801,48.721,47.404,46.758,46.205,46.302,46.725,47.107,47.296,47.544,47.377,46.592,45.995,45.230,44.898,44.515,45.051,45.980,47.450,49.459,51.638,53.647,55.853,58.267,60.003,61.605,62.729,64.130,65.413,66.598,68.168,69.497,70.276,70.365,70.599,69.952,69.876
"    TOTAL POPULATION AGE 50 YEARS (in thousands)","n.a.",2.788,2.737,2.865,2.871,2.899,2.966,2.930,2.914,2.922,2.892,3.025,3.001,2.903,2.829,2.857,2.987,3.023,3.100,3.301,3.405,3.529,3.702,3.957,4.635,4.373,4.403,4.402,6.318,6.001,6.207,6.505,6.954,7.242,7.687,8.117,8.858,9.166,9.613,9.913,10.085,10.519,10.466,10.569,10.768,10.904,10.852,10.502,10.289,10.117,10.376,10.875,10.589,9.905,9.571,9.155,9.476,9.108,9.246,9.007,9.261,9.896,9.486,9.429,9.237,9.086,9.123,8.875,8.670,8.892,8.703,9.650,9.781,10.123,10.877,10.860,11.653,11.965,12.527,12.609,12.451,12.762,13.326,13.745,13.740,13.960,14.067,14.086,13.813,13.967,13.298,14.001
"    TOTAL POPULATION AGE 51 YEARS (in thousands)","n.a.",2.570,2.692,2.704,2.835,2.799,2.861,2.919,2.872,2.841,2.854,2.803,2.815,2.788,2.714,2.666,2.706,2.843,2.902,2.986,3.198,3.320,3.370,3.567,3.892,4.566,4.355,4.422,4.460,6.426,6.169,6.515,6.676,7.086,7.348,7.858,8.180,8.944,9.234,9.613,9.895,10.103,10.441,10.399,10.481,10.679,10.704,10.748,10.383,10.144,10.002,10.184,10.757,10.486,9.958,9.625,9.203,9.527,9.159,9.300,9.052,9.309,9.951,9.541,9.482,9.288,9.135,9.175,8.921,8.718,8.940,8.753,9.705,9.835,10.186,10.939,10.921,11.721,12.033,12.601,12.685,12.533,12.855,13.423,13.843,13.850,14.064,14.177,14.197,13.919,14.076,13.405
"    TOTAL POPULATION AGE 52 YEARS (in thousands)","n.a.",2.483,2.567,2.752,2.766,2.859,2.853,2.905,2.949,2.887,2.854,2.889,2.832,2.808,2.774,2.699,2.642,2.677,2.814,2.863,2.940,3.153,3.237,3.305,3.562,3.889,4.606,4.411,4.513,4.546,6.622,6.400,6.604,6.798,7.221,7.454,7.850,8.192,8.848,9.082,9.425,9.754,10.069,10.362,10.314,10.386,10.607,10.607,10.562,10.221,9.994,9.735,10.196,10.590,10.477,9.948,9.615,9.197,9.524,9.156,9.293,9.050,9.306,9.949,9.539,9.485,9.289,9.137,9.179,8.928,8.722,8.948,8.764,9.716,9.847,10.197,10.949,10.933,11.732,12.038,12.608,12.701,12.554,12.885,13.455,13.873,13.883,14.099,14.216,14.235,13.955,14.114
"    TOTAL POPULATION AGE 53 YEARS (in thousands)","n.a.",2.268,2.323,2.473,2.675,2.668,2.805,2.802,2.858,2.899,2.853,2.858,2.891,2.814,2.798,2.767,2.697,2.643,2.685,2.826,2.877,2.966,3.176,3.263,3.361,3.605,3.943,4.671,4.480,4.557,4.618,6.693,6.484,6.694,6.874,7.294,7.435,7.828,8.112,8.698,8.938,9.288,9.670,9.944,10.215,10.216,10.257,10.463,10.421,10.402,9.999,9.827,9.767,10.043,10.586,10.472,9.945,9.616,9.198,9.526,9.156,9.298,9.050,9.309,9.955,9.541,9.487,9.296,9.144,9.191,8.938,8.737,8.965,8.778,9.737,9.870,10.218,10.974,10.957,11.755,12.062,12.629,12.724,12.587,12.921,13.500,13.920,13.928,14.145,14.268,14.285,14.001
"    TOTAL POPULATION AGE 54 YEARS (in thousands)","n.a.",2.338,2.327,2.426,2.574,2.726,2.729,2.844,2.817,2.840,2.869,2.832,2.861,2.888,2.828,2.827,2.811,2.750,2.717,2.770,2.923,3.000,3.042,3.249,3.364,3.437,3.685,4.018,4.743,4.518,4.602,4.692,6.786,6.580,6.776,7.049,7.325,7.524,7.819,8.104,8.680,8.843,9.214,9.611,9.847,10.080,10.091,10.174,10.321,10.255,10.246,9.851,9.775,9.636,10.051,10.601,10.482,9.956,9.631,9.216,9.540,9.172,9.314,9.068,9.331,9.977,9.558,9.512,9.316,9.169,9.212,8.963,8.765,8.998,8.812,9.772,9.906,10.260,11.018,11.000,11.799,12.104,12.671,12.773,12.639,12.985,13.563,13.986,13.994,14.210,14.338,14.355
